OID,API,LeaseName,WellNumber,WellStatus,WellType,WellTypeLa,OperatorCo,OperatorNa,FieldName,AreaName,District,CountyName,Section,Township,Range,BaseMeridi,Latitude,Longitude,GISSource,isConfiden,isDirectio,SpudDate,WellSymbol
-1,403038697,Williams,856-6,Active,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,6,28S,20E,MD,35.51991272,-119.856842,Operator,N,N,5/31/2009,ActiveOG
-1,403037403,Williams,865-6,Active,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,6,28S,20E,MD,35.51980591,-119.8559265,GPS,N,N,10/16/2008,ActiveOG
-1,402913486,Williams,88-6,Active,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,6,28S,20E,MD,35.51359177,-119.8505859,GPS,N,N, ,ActiveOG
-1,403026099,Pickrell-Williams,9,Active,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,5,28S,20E,MD,35.51448822,-119.8468094,GPS,N,N, ,ActiveOG
-1,402937442,Williams,1,Plugged,DH,Dry Hole,3117,Fred L. Williams,Antelope Hills,Williams,Inland,Kern,5,28S,20E,MD,35.51733398,-119.8468018,hud,N,N, ,PluggedDH
-1,402925996,Palomar-Voigt,1,Plugged,DH,Dry Hole,6631,Palomar Oil and Refining Corporation,Antelope Hills,Williams,Inland,Kern,6,28S,20E,MD,35.52719879,-119.8581467,hud,N,N, ,PluggedDH
-1,402937113,Continental-Texas Fee,1,Plugged,DH,Dry Hole,1828,Continental Oil Company,Antelope Hills,Williams,Inland,Kern,8,28S,20E,MD,35.50868225,-119.8422012,hud,N,N, ,PluggedDH
-1,402945836,Earl Cole,1,Plugged,DH,Dry Hole,8160,"Supreme Oil & Gas Corp., Operator",Antelope Hills,Nepple Gas (ABD),Inland,Kern,5,28S,20E,MD,35.52050781,-119.8394546,hud,N,N, ,PluggedDH
-1,402913459,Voigt Three,1,Plugged,DH,Dry Hole,S3100,Shell Western E&P Inc.,Antelope Hills,Williams,Inland,Kern,5,28S,20E,MD,35.52292633,-119.8474426,hud,N,N, ,PluggedDH
-1,402919695,Voigt B,1,Plugged,DH,Dry Hole,C5640,Chevron U.S.A. Inc.,Antelope Hills,Nepple Gas (ABD),Inland,Kern,4,28S,20E,MD,35.51568985,-119.8262177,hud,N,N, ,PluggedDH
-1,402925846,Voigt-Custodian,1-Jan,Plugged,DH,Dry Hole,T1400,Tesoro Petroleum Corp.,Antelope Hills,Nepple Gas (ABD),Inland,Kern,4,28S,20E,MD,35.52222061,-119.8282547,hud,N,N, ,PluggedDH
-1,403038483,Hankins,31-Jan,Plugged,OG,Oil & Gas,P1450,"Pacific Coast Exploration, LLC",Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.53556824,-119.8580475,Operator,N,N,3/11/2009,PluggedOG
-1,402972224,Chevron-Voigt,4-Jan,Plugged,DH,Dry Hole,C5640,Chevron U.S.A. Inc.,Antelope Hills,Nepple Gas (ABD),Inland,Kern,4,28S,20E,MD,35.51773071,-119.827179,hud,N,N, ,PluggedDH
-1,402937137,Mitchel-Goodstein-Voigt,5-Jan,Plugged,DH,Dry Hole,3469,Golden Bear Oil Company,Antelope Hills,Williams,Inland,Kern,5,28S,20E,MD,35.52380371,-119.8470459,hud,N,N, ,PluggedDH
-1,403003865,Skate,6-Jan,Plugged,OG,Oil & Gas,O2080,Onesta Corp.,Antelope Hills,Williams,Inland,Kern,6,28S,20E,MD,35.52342224,-119.8633957,hud,N,N, ,PluggedOG
-1,403067394,Unspecified,7-Jan,New,OG,Oil & Gas,11116,West Bay Exploration Company,Antelope Hills,Williams,Inland,Kern,7,28S,20E,MD,35.50702926,-119.8530053,Notice of Intent to Drill,Y,Y, ,NewOG
-1,402925847,Voigt,11,Plugged,DH,Dry Hole,T1400,Tesoro Petroleum Corp.,Antelope Hills,Williams,Inland,Kern,5,28S,20E,MD,35.52653885,-119.8489227,hud,N,N, ,PluggedDH
-1,402919716,Phippen,11,Plugged,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,8,28S,20E,MD,35.51016235,-119.8462677,Operator,N,N, ,PluggedOG
-1,402919717,Phippen,12,Plugged,DH,Dry Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,8,28S,20E,MD,35.50745773,-119.8473053,hud,N,N, ,PluggedDH
-1,402945577,Phippen,13,Plugged,WD,Water Disposal,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,8,28S,20E,MD,35.5111351,-119.8449326,hud,N,N,6/19/1970,PluggedWD
-1,402945734,Voigt,14X,Plugged,DH,Dry Hole,T3000,Tiger Oil Co.,Antelope Hills,Williams,Inland,Kern,5,28S,20E,MD,35.52121735,-119.8485489,hud,N,N, ,PluggedDH
-1,402952058,Voigt Great Basins,16X,Plugged,DH,Dry Hole,G0300,G.E.C. Oil and Gas Operations,Antelope Hills,Nepple Gas (ABD),Inland,Kern,4,28S,20E,MD,35.51745605,-119.8311539,hud,N,N,10/12/1975,PluggedDH
-1,403006684,Phippen,19,Plugged,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,8,28S,20E,MD,35.50829315,-119.8467483,hud,N,N, ,PluggedOG
-1,402937441,Lease by Fred L. Williams,2,Plugged,DH,Dry Hole,3117,Fred L. Williams,Antelope Hills,Williams,Inland,Kern,1,28S,19E,MD,35.52403259,-119.8751526,hud,N,N, ,PluggedDH
-1,402925997,Voigt,2,Plugged,DH,Dry Hole,6631,Palomar Oil and Refining Corporation,Antelope Hills,Williams,Inland,Kern,6,28S,20E,MD,35.52747726,-119.8562775,hud,N,N, ,PluggedDH
-1,402913462,Voigt,6-Feb,Plugged,DH,Dry Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,6,28S,20E,MD,35.52632141,-119.8545608,hud,N,N, ,PluggedDH
-1,402949936,Voigt,6-Feb,Plugged,OG,Oil & Gas,G0300,G.E.C. Oil and Gas Operations,Antelope Hills,Williams,Inland,Kern,6,28S,20E,MD,35.52428055,-119.8516006,hud,N,N, ,PluggedOG
-1,402919708,Phippen,3,Plugged,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,8,28S,20E,MD,35.51106262,-119.8495712,Operator,N,N, ,PluggedOG
-1,402950548,Voigt,6-Mar,Plugged,OG,Oil & Gas,G0300,G.E.C. Oil and Gas Operations,Antelope Hills,Williams,Inland,Kern,6,28S,20E,MD,35.5154686,-119.8527069,hud,N,N, ,PluggedOG
-1,402913428,Core Hole,32-31,Plugged,CH,Core Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.53955078,-119.8623733,hud,N,N, ,PluggedCH
-1,402913468,Williams,32-6,Plugged,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,6,28S,20E,MD,35.52478027,-119.8622513,GPS,N,N, ,PluggedOG
-1,402913469,Williams,32A-6,Plugged,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,6,28S,20E,MD,35.52476883,-119.8622665,hud,N,N, ,PluggedOG
-1,402913451,Shell-Intex Voigt,33-4,Plugged,DH,Dry Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Nepple Gas (ABD),Inland,Kern,4,28S,20E,MD,35.52326965,-119.8266754,Unknown,N,N, ,PluggedDH
-1,402959304,Voigt,1-Apr,Plugged,DH,Dry Hole,P4800,Pyramid Oil Company,Antelope Hills,Nepple Gas (ABD),Inland,Kern,4,28S,20E,MD,35.51685715,-119.8261719,hud,N,N, ,PluggedDH
-1,402937433,Nepple Custodian,14-Apr,Plugged,OG,Oil & Gas,2715,"Estate of Edward A. Nepple, W. A. MacMullen, Trustee",Antelope Hills,Nepple Gas (ABD),Inland,Kern,4,28S,20E,MD,35.52140427,-119.8315277,hud,N,N, ,PluggedOG
-1,402937434,Nepple Custodian,15-Apr,Plugged,OG,Oil & Gas,2715,"Estate of Edward A. Nepple, W. A. MacMullen, Trustee",Antelope Hills,Nepple Gas (ABD),Inland,Kern,4,28S,20E,MD,35.51984024,-119.8314591,hud,N,N, ,PluggedOG
-1,402937435,Nepple Custodian,16-Apr,Plugged,OG,Oil & Gas,2715,"Estate of Edward A. Nepple, W. A. MacMullen, Trustee",Antelope Hills,Nepple Gas (ABD),Inland,Kern,4,28S,20E,MD,35.5186615,-119.8314896,hud,N,N, ,PluggedOG
-1,402913465,Williams,6-Apr,Plugged,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,6,28S,20E,MD,35.52109528,-119.8670731,GPS,N,N, ,PluggedOG
-1,402913429,Core Hole,46,Plugged,CH,Core Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.53289795,-119.8627777,hud,N,N, ,PluggedCH
-1,402913438,Hopkins A,46X-31,Plugged,DH,Dry Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.53216553,-119.8606644,hud,N,N, ,PluggedDH
-1,402913454,Core Hole,49A,Plugged,CH,Core Hole,S3100,Shell Western E&P Inc.,Antelope Hills,Williams,Inland,Kern,5,28S,20E,MD,35.52559662,-119.8461456,hud,N,N, ,PluggedCH
-1,402919710,Phippen,5,Plugged,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,8,28S,20E,MD,35.51205444,-119.8484268,GPS,N,N, ,PluggedOG
-1,402960806,Voigt,1-May,Plugged,DH,Dry Hole,P4800,Pyramid Oil Company,Antelope Hills,Nepple Gas (ABD),Inland,Kern,5,28S,20E,MD,35.52495575,-119.8342438,hud,N,N, ,PluggedDH
-1,402937436,Nepple Custodian,May-73,Plugged,DH,Dry Hole,2715,"Estate of Edward A. Nepple, W. A. MacMullen, Trustee",Antelope Hills,Nepple Gas (ABD),Inland,Kern,5,28S,20E,MD,35.52242661,-119.8348694,hud,N,N, ,PluggedDH
-1,402937437,Nepple Custodian,May-75,Plugged,DH,Dry Hole,2715,"Estate of Edward A. Nepple, W. A. MacMullen, Trustee",Antelope Hills,Nepple Gas (ABD),Inland,Kern,5,28S,20E,MD,35.51960373,-119.8345032,hud,N,N, ,PluggedDH
-1,402937438,Nepple Custodian,May-83,Plugged,DH,Dry Hole,2715,"Estate of Edward A. Nepple, W. A. MacMullen, Trustee",Antelope Hills,Nepple Gas (ABD),Inland,Kern,5,28S,20E,MD,35.52246475,-119.8334351,hud,N,N, ,PluggedDH
-1,402937439,Nepple Custodian,May-84,Plugged,OG,Oil & Gas,2715,"Estate of Edward A. Nepple, W. A. MacMullen, Trustee",Antelope Hills,Nepple Gas (ABD),Inland,Kern,5,28S,20E,MD,35.52125549,-119.8333664,hud,N,N, ,PluggedOG
-1,402937440,Nepple Custodian,May-85,Plugged,OG,Oil & Gas,2715,"Estate of Edward A. Nepple, W. A. MacMullen, Trustee",Antelope Hills,Nepple Gas (ABD),Inland,Kern,5,28S,20E,MD,35.51977921,-119.8328628,hud,N,N, ,PluggedOG
-1,403031630,Voigt,503-5,Plugged,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,5,28S,20E,MD,35.52603149,-119.8477554,mip,N,N, ,PluggedOG
-1,402913430,Core Hole,51,Plugged,CH,Core Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.54143143,-119.8556137,hud,N,N, ,PluggedCH
-1,402913431,Core Hole,52,Plugged,CH,Core Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.52822495,-119.8657913,hud,N,N, ,PluggedCH
-1,402913450,Core Hole,53,Plugged,CH,Core Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Nepple Gas (ABD),Inland,Kern,4,28S,20E,MD,35.52370453,-119.8283539,hud,N,N, ,PluggedCH
-1,402977276,Hopkins A,53-31,Plugged,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.53796768,-119.8584213,Operator,N,N, ,PluggedOG
-1,402913455,Core Hole,54,Plugged,CH,Core Hole,S3100,Shell Western E&P Inc.,Antelope Hills,Williams,Inland,Kern,5,28S,20E,MD,35.52256012,-119.8486481,hud,N,N, ,PluggedCH
-1,402913442,Hopkins A,57X-31,Plugged,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.5294342,-119.857933,GPS,N,N, ,PluggedOG
