,County,Sec-Twp_Rng,Company,Well,Location,Type,Permit Number,API Number,Objective,Date
440,Lawrence,26-3N-12W,"CDG Operations, LLC","Leighty, E. a/c 1 #116-CDG","432'N line, 419'E line of SE SW",OIL,65441,1.21013E+11,Salem,Jan-18
441,Lawrence,26-3N-12W,"CDG Operations, LLC","Leighty, E. a/c 1 #117-CDG","480'S line, 570'E line of SE SW",OIL,65440,1.21013E+11,Salem,Jan-18
442,Lawrence,34-3N-12W,"CDG Operations, LLC","Vandermark, L. A. #34-CDG","125'N line, 71'E line of NE NE",OIL,65438,1.21013E+11,Salem,Jan-18
443,Lawrence,35-3N-12W,"CDG Operations, LLC","Leighty, L. K. a/c 1 (80A),#101-CDG","319'S line, 330'E line of NE NW",OIL,65437,1.21013E+11,Salem,Jan-18
444,Lawrence,35-3N-12W,"CDG Operations, LLC","Leighty, L. K. a/c 1 (80A),#102-CDG","337'N line, 330'E line of NE NW",OIL,65436,1.21013E+11,Salem,Jan-18
445,Lawrence,35-3N-12W,"CDG Operations, LLC","Ryan, G. L. a/c 3 #54-CDG","375'N line, 330'W line of NE NE",OIL,65449,1.21013E+11,Salem,Jan-18
446,Randolph,25-6S-6W,Ebers Drilling Co.,Ebers #1,"330'N line, 330'W line of NW",GAS,65451,1.21573E+11,Aux Vases,Jan-18
447,Wabash,8-1S-12W,"Keepes Petroleum, Inc.",Wabash - Newton #4-WI,"296'S line, 828'W line of NW NW",SWD,204596,1.21853E+11,McClosky,Jan-18
448,White,6-4S-14W,"Campbell Energy, LLC",Willett #10,"333'N line, 659'E line of SE SE",OIL,65446,1.21933E+11,Fort Payne,Jan-18
449,White,6-4S-14W,"Campbell Energy, LLC",Willett #11,"333'S line, 657'E line of SE SE",OIL,65445,1.21933E+11,Fort Payne,Jan-18
450,White,6-4S-14W,"Campbell Energy, LLC",Willett #9,"333'S line, 661'E line of NE SE",OIL,65444,1.21933E+11,Fort Payne,Jan-18
451,White,7-4S-14W,"Campbell Energy, LLC",Copperhead #WI-1,"330'N line, 558'W line of SW SE",WI,204594,1.21933E+11,Fort Payne,Jan-18
